time,LVCM2-FC503F,LVCM-TI-C503A-I.PV,LVCM2-FC503AS.PV,LVCM2-TC503T,LVCM2-TC503B,LVCM-PI-C503A-T.PV,LVCM-PI-C503A-B.PV,LVCM2-LC503,EDC
2022-08-26 16:40:00,9.9470253,No Data,2532.6845703,102.9000015,105.3447952,1471.3905029,1459.7219238,49.8349648,
2022-08-26 16:50:00,10.0179453,No Data,2552.7856445,102.9000015,105.3579788,1468.6672363,1461.8012695,50.0,
2022-08-26 17:00:00,10.0595751,No Data,2557.407959,102.9000015,105.3711624,1465.4710693,1456.4763184,50.1050911,
2022-08-26 17:10:00,10.0167418,No Data,2547.4169922,102.9000015,105.3843536,1462.2749023,1464.887085,50.0,
2022-08-26 17:20:00,10.0145988,No Data,2577.2514648,102.9000015,105.3975372,1459.0787354,1471.4993896,50.0175552,
2022-08-26 17:30:00,10.0078201,No Data,2528.2009277,102.9000015,105.4107285,1455.8825684,1477.0549316,50.0,
2022-08-26 17:40:00,10.0425682,No Data,2526.7949219,102.9000015,105.423912,1452.6865234,1482.6103516,49.8812752,
2022-08-26 17:50:00,9.9983063,No Data,2547.9338379,102.9000015,105.4370956,1449.4903564,1488.1658936,50.0,
2022-08-26 18:00:00,10.0315466,No Data,2554.546875,102.9000015,105.4502869,1452.6656494,1493.6361084,50.0,
2022-08-26 18:10:00,9.9480371,No Data,2557.3789063,102.9000015,105.4634705,1460.7794189,1487.0809326,50.0,
2022-08-26 18:20:00,10.053833,No Data,2538.3479004,102.9114761,105.4766617,1481.5640869,1521.5422363,50.1556549,
2022-08-26 18:30:00,9.9734697,No Data,2541.2976074,102.9354782,105.4898453,1502.3486328,1522.0236816,50.0,
2022-08-26 18:40:00,10.5169468,No Data,2571.0510254,102.9594803,105.5030289,1487.1767578,1503.7109375,49.9028816,
2022-08-26 18:50:00,10.3898315,No Data,2517.9921875,102.9834747,105.5162201,1466.4979248,1499.7261963,50.0901375,
2022-08-26 19:00:00,10.4499998,No Data,2537.0,103.0,105.5294037,1493.4934082,1522.7072754,50.0,
2022-08-26 19:10:00,10.4991331,No Data,2569.3745117,103.0,105.5425949,1507.1361084,1516.289917,50.0,
2022-08-26 19:20:00,10.4920006,No Data,2525.4145508,103.0,105.5557785,1495.944458,1515.0654297,50.0,
2022-08-26 19:30:00,10.5153732,No Data,2527.9567871,103.0,105.5689621,1484.7526855,1513.8409424,50.0,
2022-08-26 19:40:00,10.4721489,No Data,2523.8666992,103.0,105.5821533,1504.302002,1512.616333,50.0862808,
