time,LVCM2-FC503F,LVCM-TI-C503A-I.PV,LVCM2-FC503AS.PV,LVCM2-TC503T,LVCM2-TC503B,LVCM-PI-C503A-T.PV,LVCM-PI-C503A-B.PV,LVCM2-LC503,EDC
2022-08-27 00:30:00,12.3229132,No Data,2559.0,102.3762436,105.2655716,1391.9034424,1443.3574219,50.0,0.0
2022-08-27 09:00:00,11.9890795,No Data,2511.3330078,102.2559357,105.1031189,1349.2901611,1351.2355957,50.1985054,0.0
2022-08-27 16:30:00,10.1519413,No Data,2554.8371582,103.0,105.5,1484.3800049,1510.3011475,50.052639,0.0
2022-08-28 00:30:00,11.5044851,No Data,2494.5009766,103.2816772,105.8569946,1596.6801758,1657.0307617,50.0,0.0
2022-08-28 09:00:00,11.9860668,No Data,2550.3977051,102.8812943,105.4000015,1532.9827881,1541.6702881,49.9144974,0.0
2022-08-28 16:30:00,11.211916,No Data,2559.0085449,102.7721786,105.2116318,1361.8345947,1418.6000977,50.1633797,0.0
2022-08-29 09:00:00,12.2165327,No Data,2497.791748,102.5,105.1999969,1245.7988281,1319.3282471,50.0042839,0.0
2022-08-29 17:00:00,11.4095306,No Data,2620.3312988,102.7139816,105.0701141,1296.6837158,1339.6346436,50.0999985,0.0
2022-08-30 00:30:00,12.7625923,No Data,2611.1020508,102.8000031,105.3026505,1405.3890381,1411.248291,49.8965836,0.0
2022-08-30 09:00:00,12.4816465,No Data,2560.7353516,102.7128296,105.1504059,1366.2614746,1402.0980225,50.2729454,0.0
2022-08-30 16:30:00,9.865653,No Data,2372.3710938,99.6356049,102.9950333,466.8607788,514.9436035,50.0949097,0.0
2022-08-31 00:30:00,11.4629908,No Data,3119.0993652,101.4000015,103.9199448,916.6566162,967.3751831,50.1266022,0.0
2022-08-31 09:00:00,12.108964,No Data,3298.5881348,101.6538696,104.5395355,1052.2961426,1101.4169922,50.0535316,0.0
2022-08-31 16:30:00,11.2222004,No Data,2413.059082,102.4364166,104.9598541,1261.7106934,1315.2624512,49.9589691,0.0
2022-09-01 00:30:00,13.8069506,No Data,2569.8652344,102.1999969,104.9000015,1286.7468262,1318.5701904,50.0,0.0
2022-09-01 09:00:00,11.3964901,No Data,2452.0393066,102.6999969,105.3968582,1463.581543,1533.5872803,49.6810493,0.0
2022-09-01 16:30:00,10.7854128,No Data,2403.4936523,102.5,105.1749191,1476.8529053,1470.0727539,50.0,0.0
2022-09-02 00:30:00,12.5273762,No Data,2526.2629395,102.3000031,104.9832382,1391.0704346,1391.0999756,50.0,0.0
2022-09-02 09:00:00,12.7160091,No Data,2485.9921875,102.0,104.8774033,1294.4754639,1355.5490723,50.0,0.0
2022-09-02 16:30:00,11.7352324,No Data,2488.3269043,102.4000015,104.8482285,1397.4046631,1429.3983154,50.0,0.0
2022-09-03 00:30:00,11.7457275,No Data,2512.4018555,102.0863037,104.5273972,1243.9459229,1273.7387695,50.0,0.0
2022-09-03 09:00:00,12.5006313,No Data,2514.4765625,101.6562576,104.4748154,1128.8438721,1156.5296631,49.9849472,0.0
2022-09-03 17:00:00,12.4745731,No Data,2519.3586426,101.5999985,104.2195206,1157.7122803,1149.7037354,49.8552284,0.0
2022-09-04 00:30:00,11.6510372,No Data,2542.1992188,102.0,104.5304871,1211.904541,1262.7873535,50.0,0.0
2022-09-04 09:00:00,11.6642208,No Data,2531.6403809,102.309494,104.8421936,1374.4238281,1411.9969482,50.0,0.0
2022-09-04 17:00:00,11.5403585,No Data,2536.5715332,102.0,104.7631378,1241.6917725,1296.4648438,50.0504227,0.0
2022-09-05 00:30:00,11.2179527,No Data,2508.5075684,102.5,105.0,1409.7893066,1449.9162598,50.0327682,0.0
2022-09-05 09:00:00,11.6284552,No Data,2517.1030273,102.4000015,105.1999969,1381.2712402,1423.022583,49.9083824,0.0
2022-09-05 16:30:00,11.3050222,No Data,2534.7126465,102.4000015,105.1328888,1398.0324707,1462.9647217,50.1532097,0.0
2022-09-06 00:30:00,10.9384708,No Data,2526.5852051,101.9000015,104.3151016,1026.9528809,1093.4307861,50.0555267,0.0
2022-09-06 09:00:00,10.9518661,No Data,2531.0639648,102.2602234,104.7805786,1189.5771484,1237.3635254,49.91259,0.0
2022-09-06 16:30:00,11.0756617,No Data,2539.0,102.6999969,105.292511,1412.8735352,1441.7659912,50.2310219,0.0
2022-09-07 00:30:00,12.4285135,No Data,3693.4162598,101.0440674,103.77108,641.446228,692.5267334,51.0107689,0.0
2022-09-07 09:00:00,14.6178026,No Data,4506.5361328,102.4540405,105.6637802,1520.3731689,1554.3842773,50.8903008,0.0
2022-09-07 16:30:00,12.4715042,No Data,2599.564209,102.5546417,105.0714569,1276.0865479,1325.1988525,50.0051193,0.0
2022-09-08 00:30:00,10.4200001,No Data,2469.8864746,102.6999969,105.3036652,1375.7305908,1420.2961426,50.109848,0.0
2022-09-08 09:00:00,12.5300007,No Data,2637.4111328,102.8000031,105.2162552,1313.4841309,1382.385376,50.0,0.0
2022-09-08 16:30:00,11.5470161,No Data,2590.0,101.9659576,105.3893356,1455.7504883,1535.5384521,49.9473495,0.0
2022-09-09 00:30:00,12.3465347,No Data,2575.6369629,102.8255615,105.399086,1408.3349609,1478.2098389,50.0,0.0
2022-09-09 09:00:00,11.9867334,No Data,2547.6938477,102.6944275,105.3979492,1430.8892822,1439.4748535,50.0,0.0
2022-09-09 16:30:00,10.8400002,No Data,2577.4467773,102.5949402,105.3888474,1379.8414307,1433.8144531,49.805687,0.0
2022-09-10 00:30:00,10.7719564,No Data,2595.5439453,102.9000015,105.5,1531.6335449,1549.9677734,49.8359947,0.0
2022-09-10 09:00:00,12.1135626,No Data,2609.1826172,102.2260971,105.2534485,1376.8618164,1432.1531982,49.8349724,0.0
2022-09-10 16:30:00,11.0065098,No Data,2565.8483887,102.4000015,105.0036697,1328.873291,1378.5021973,50.0014381,0.0
2022-09-11 00:30:00,11.7920084,No Data,2578.7858887,102.5341263,105.2460709,1423.5936279,1487.9405518,50.0,0.0
2022-09-11 08:30:00,11.8025265,No Data,2551.6638184,102.4000015,105.2849274,1409.5231934,1439.3962402,49.6047401,0.0
2022-09-11 16:30:00,10.7397823,No Data,2592.5222168,102.4706573,105.1139221,1370.0859375,1379.4489746,49.9613876,0.0
2022-09-12 00:30:00,11.9766331,No Data,2554.7983398,102.5,104.9682159,1358.1816406,1422.0546875,50.0,0.0
2022-09-12 09:00:00,12.0030079,No Data,2554.9042969,102.1150513,104.710556,1266.5692139,1301.0570068,50.0,0.0
2022-09-12 16:30:00,9.9906988,No Data,2594.8955078,102.4584579,105.0,1353.3405762,1402.5039063,49.8579597,0.0
2022-09-13 00:30:00,9.9870892,No Data,3472.0,102.010231,104.5046387,1217.7728271,1251.6964111,50.0,0.0
2022-09-13 09:00:00,10.7449503,No Data,3599.1220703,102.1999969,105.0,1244.5458984,1289.3250732,50.0,0.0
2022-09-13 17:00:00,11.1179819,No Data,3544.0314941,101.8000031,104.5966415,1173.0915527,1207.9405518,50.0,0.0
2022-09-14 00:30:00,15.5035725,No Data,2809.3044434,101.9320908,104.6343536,1248.0827637,1303.6673584,50.2999992,0.0
2022-09-14 09:00:00,15.4842396,No Data,2785.0791016,102.1524353,104.7354507,1253.9593506,1285.4453125,49.2999992,0.0
2022-09-14 17:00:00,10.9389067,No Data,2801.9421387,103.1999969,105.847702,1670.3835449,1713.4088135,49.4050713,0.0
2022-09-15 00:30:00,14.8016987,No Data,2585.0227051,102.0999985,104.6130524,1259.1871338,1296.0115967,50.7854118,0.0
2022-09-15 09:00:00,14.7907915,No Data,2624.8261719,102.0999985,104.8107834,1278.701416,1303.3405762,50.4018555,0.0
2022-09-15 17:00:00,10.4464941,No Data,2589.1972656,103.0945358,105.5,1518.767334,1542.5222168,49.9177284,0.0
2022-09-16 00:30:00,12.1224747,No Data,2538.3017578,102.8000031,105.2870102,1433.2598877,1499.0661621,49.9971886,0.0
2022-09-16 09:00:00,12.5635281,No Data,2530.1008301,102.8000031,105.3706055,1476.7313232,1487.7194824,50.0,0.0
2022-09-16 16:30:00,10.2280703,No Data,2486.0500488,103.1533585,105.31353,1528.0429688,1547.753418,49.819088,0.0
2022-09-17 00:30:00,11.8315811,No Data,2452.7324219,102.5,104.9721298,1299.9770508,1365.2576904,49.8897629,0.0
2022-09-17 09:00:00,12.5553484,No Data,2454.0935059,102.4331436,104.8809662,1280.418457,1284.1040039,50.0101089,0.0
2022-09-17 17:00:00,10.0092192,No Data,2504.3952637,102.8131409,105.6999969,1599.9412842,1648.3118896,50.0273819,0.0
2022-09-18 00:30:00,12.0108252,No Data,2490.1096191,102.8506851,105.0507355,1353.2209473,1400.4411621,50.1157265,0.0
2022-09-18 09:00:00,12.5822496,No Data,2465.1433105,102.5045242,105.0918427,1336.4317627,1419.9603271,49.9829865,0.0
2022-09-18 16:30:00,11.4980555,No Data,2473.1176758,102.5407715,104.8021469,1247.395752,1304.4923096,49.9364548,0.0
2022-09-19 00:30:00,11.7146053,No Data,2499.3652344,102.8000031,105.3026581,1492.0356445,1515.4619141,50.0,0.0
2022-09-19 09:00:00,12.6873827,No Data,2447.6203613,102.3000031,105.0928116,1330.9537354,1375.7645264,49.8948326,0.0
2022-09-19 17:00:00,11.0100002,No Data,2488.2116699,102.6999969,105.3188019,1446.1202393,1505.0,50.0,0.0
2022-09-20 00:30:00,11.7124996,No Data,2486.4199219,102.8000031,105.5122681,1509.9216309,1548.5036621,50.1087151,0.0
2022-09-20 09:00:00,12.7346125,No Data,2490.4328613,102.5,105.1216049,1276.1113281,1339.0706787,49.7294884,0.0
2022-09-20 16:30:00,11.1648235,No Data,2471.0,102.6999969,105.2058182,1420.0535889,1473.0429688,50.0,0.0
2022-09-20 17:00:00,11.1876965,No Data,2483.5424805,102.7318649,105.2314987,1416.0128174,1451.3123779,50.3586807,0.0
2022-09-21 00:30:00,10.9476843,No Data,2380.6569824,103.1833038,105.4334564,1535.9025879,1563.859375,50.0,0.0
2022-09-21 09:00:00,12.7119541,No Data,2415.4494629,102.072258,105.1425171,1461.9356689,1487.7852783,49.7999992,0.0
2022-09-21 16:30:00,9.8061638,No Data,3073.1496582,101.5,103.9928741,906.4369507,959.4373169,50.4526138,0.0
2022-09-22 00:30:00,11.2949343,No Data,2503.5102539,103.0,105.6669922,1554.6466064,1558.4160156,50.0,0.0
2022-09-22 09:00:00,10.2406969,No Data,2490.0,103.1875153,105.6999969,1550.0324707,1575.3323975,49.4974937,0.0
2022-09-22 16:30:00,9.9891672,No Data,2519.2961426,103.0504761,105.5498581,1484.9758301,1533.9748535,49.9028206,0.0
2022-09-23 00:30:00,9.0003862,No Data,2995.7832031,101.6073608,104.0434189,1014.9084473,1075.161377,49.6446838,0.0
2022-09-23 09:00:00,14.5535755,No Data,2528.732666,102.1025009,104.6201324,1160.0560303,1186.4674072,50.2084503,0.0
2022-09-23 17:00:00,11.7239428,No Data,2589.8505859,102.5571594,105.2863617,1404.2890625,1455.46875,50.1367798,0.0
2022-09-24 00:30:00,12.4809914,No Data,2598.8044434,102.5,105.3649063,1416.1639404,1429.5200195,50.0,0.0
2022-09-24 09:00:00,12.3083658,No Data,2565.7231445,102.4000015,105.0,1355.5426025,1362.0610352,49.7827263,0.0
2022-09-24 16:30:00,11.7045889,No Data,2571.3764648,102.3608704,105.016304,1350.520874,1387.435791,50.1458168,0.0
2022-09-25 00:30:00,11.6938639,No Data,2586.7041016,102.755806,105.3717575,1526.8930664,1529.7720947,50.0,0.0
2022-09-25 09:00:00,12.6200895,No Data,2589.0061035,102.1999969,105.0223618,1319.0096436,1338.0831299,50.145031,0.0
2022-09-25 16:30:00,11.2017546,No Data,2559.4768066,102.1546555,104.8652802,1224.9697266,1274.5559082,50.3447418,0.0
2022-09-26 00:30:00,11.455411,No Data,2599.425293,102.5262527,105.2763901,1412.9803467,1427.3535156,50.0,0.0
2022-09-26 09:00:00,12.2167768,No Data,2584.6687012,102.0999985,104.9317017,1323.2304688,1331.8337402,49.7052841,0.0
2022-09-26 16:30:00,11.0170345,No Data,2665.9143066,102.5715866,105.2454987,1408.6358643,1473.9066162,49.6586342,0.0
2022-09-27 00:30:00,11.7567406,No Data,2635.979248,102.7494888,105.4000015,1529.3912354,1551.2408447,50.0,0.0
2022-09-27 09:00:00,12.7703304,No Data,2667.7993164,102.3572311,105.3910141,1466.793335,1507.6512451,49.802227,0.0
2022-09-27 16:30:00,11.0195913,No Data,2618.4680176,102.7156296,105.3396988,1417.7801514,1487.638916,49.8482285,0.0
2022-09-28 09:00:00,12.3003044,No Data,2633.519043,102.4343643,105.495369,1507.6143799,1552.6635742,50.0,0.0
2022-09-28 16:30:00,11.0166082,No Data,2630.4953613,102.9357834,105.3000031,1488.9697266,1535.2963867,50.0,0.0
2022-09-29 00:30:00,12.2106628,No Data,2591.0986328,102.5,105.2474365,1416.5227051,1420.4561768,50.2219887,0.0
2022-09-29 09:00:00,12.5607815,No Data,2618.4606934,101.9265594,105.1999969,1370.4432373,1391.4064941,49.8736229,0.0
2022-09-29 16:30:00,10.0005531,No Data,2600.1855469,102.7563782,105.5514221,1545.6031494,1593.4703369,50.3100929,0.0
