"feed temperature (C)","feed flow (t/HR)","steam flow (kg/hr)",top pressure  (mm-water-G),bottom pressure (mm-water-G),top temperature (C),bottom temperature (C),"bottom EDC (ppm)",Status
50,10,2000,400,500,101.397203,101.348464,0.695911095,OK
50,10,2000,400,600,101.59309,101.608479,0.714454661,OK
50,10,2000,400,700,101.788219,101.866534,0.733582987,OK
50,10,2000,400,800,101.982608,102.122661,0.75331582,OK
50,10,2000,400,900,102.176272,102.376893,0.773674154,OK
50,10,2000,400,1000,102.369227,102.62926,0.794679836,OK
50,10,2000,500,600,101.670195,101.60848,0.728241528,OK
50,10,2000,500,700,101.865088,101.866533,0.747713033,OK
50,10,2000,500,800,102.059244,102.12266,0.767798477,OK
50,10,2000,500,900,102.252678,102.376892,0.788519477,OK
50,10,2000,500,1000,102.445405,102.629259,0.809898233,OK
50,10,2000,500,1100,102.63744,102.879792,0.831957862,OK
50,10,2000,600,700,101.941544,101.866533,0.761990835,OK
50,10,2000,600,800,102.135469,102.122659,0.782432304,OK
50,10,2000,600,900,102.328675,102.37689,0.803519202,OK
50,10,2000,600,1000,102.521176,102.629258,0.825274372,OK
50,10,2000,600,1100,102.712988,102.87979,0.847721299,OK
50,10,2000,600,1200,102.904127,103.128518,0.870884437,OK
50,10,2000,700,800,102.211291,102.122659,0.797217599,OK
50,10,2000,700,900,102.404271,102.376889,0.81867394,OK
50,10,2000,700,1000,102.59655,102.629256,0.840808892,OK
50,10,2000,700,1100,102.788141,102.879789,0.863646597,OK
50,10,2000,700,1200,102.97906,103.128517,0.887211899,OK
50,10,2000,700,1300,103.169322,103.375469,0.91153067,OK
50,10,2000,800,900,102.479474,102.376889,0.833984048,OK
50,10,2000,800,1000,102.671531,102.629255,0.85650246,OK
50,10,2000,800,1100,102.862905,102.879788,0.879734454,OK
50,10,2000,800,1200,103.053608,103.128515,0.903705544,OK
50,10,2000,800,1300,103.243655,103.375467,0.928442012,OK
50,10,2000,800,1400,103.433063,103.620671,0.953971227,OK
50,10,2000,900,1000,102.746129,102.629255,0.872355493,OK
50,10,2000,900,1100,102.937286,102.879786,0.895985588,OK
50,10,2000,900,1200,103.127776,103.128514,0.920366124,OK
50,10,2000,900,1300,103.317612,103.375466,0.945524061,OK
50,10,2000,900,1400,103.50681,103.62067,0.971487199,OK
50,10,2000,900,1500,103.695383,103.864153,0.99828449,OK
50,10,2000,1000,1100,103.011293,102.879786,0.912400481,OK
50,10,2000,1000,1200,103.20157,103.128512,0.93719441,OK
50,10,2000,1000,1300,103.391198,103.375464,0.962777623,OK
50,10,2000,1000,1400,103.580189,103.620668,0.98917861,OK
50,10,2000,1000,1500,103.768557,103.864151,1.01642677,OK
50,10,2000,1000,1600,103.956317,104.105941,1.04455273,OK
50,10,2000,1100,1200,103.275,103.128512,0.954190948,OK
50,10,2000,1100,1300,103.46442,103.375463,0.980203521,OK
50,10,2000,1100,1400,103.653207,103.620666,1.00704632,OK
50,10,2000,1100,1500,103.841372,103.86415,1.03474943,OK
50,10,2000,1100,1600,104.028931,104.105939,1.06334394,OK
50,10,2000,1100,1700,104.215898,104.346061,1.09286225,OK
50,10,2000,1200,1300,103.537285,103.375462,0.997802368,OK
