time,LVCM2-FC503F,LVCM-TI-C503A-I.PV,LVCM2-FC503AS.PV,LVCM2-TC503T,LVCM2-TC503B,LVCM-PI-C503A-T.PV,LVCM-PI-C503A-B.PV,LVCM2-LC503,EDC
2023-12-22 17:40:00,14.418088,110.6039352,1589.8056641,101.684021,105.2759323,1207.3648682,1213.6906738,46.4113045,
2023-12-22 17:50:00,14.42348,110.6102524,1614.730835,101.780777,105.2584915,1224.8186035,1207.5113525,46.9467964,
2023-12-22 18:00:00,14.3787737,110.6165619,1629.2807617,101.7277298,105.2410507,1212.7119141,1235.0408936,47.5862122,
2023-12-22 18:10:00,14.4379778,110.6228714,1619.0476074,101.6999969,105.2236023,1173.7664795,1189.3793945,50.7900085,
2023-12-22 18:20:00,14.3453608,110.6291809,1582.4458008,101.6999969,105.2061615,1211.4748535,1223.5531006,48.9785919,
2023-12-22 18:30:00,14.3708162,110.635498,1618.9901123,101.6999969,105.2159271,1209.7913818,1220.6217041,49.2948494,
2023-12-22 18:40:00,14.4425249,110.6418076,1597.4934082,101.6999969,105.2405701,1237.0192871,1245.8327637,51.7176933,
2023-12-22 18:50:00,14.3739672,110.6481171,1581.578125,101.6999969,105.265213,1248.2000732,1257.4899902,48.7685127,
2023-12-22 19:00:00,14.4065247,110.6544266,1613.7225342,101.6056976,105.289856,1246.8370361,1259.2301025,49.8204269,
2023-12-22 19:10:00,14.3871689,110.6607437,1600.3084717,101.6616287,105.3144989,1239.1342773,1255.1759033,51.4191856,
2023-12-22 19:20:00,14.3554535,110.6670532,1609.9433594,101.6521606,105.3391342,1264.6933594,1280.4464111,48.455143,
2023-12-22 19:30:00,14.3722773,110.6733627,1614.3187256,101.5999985,105.3637772,1234.9587402,1269.6772461,50.8097839,
2023-12-22 19:40:00,14.3600006,110.6796722,1622.7211914,101.642807,105.3884201,1290.234375,1306.9689941,50.0033798,
2023-12-22 19:50:00,14.908658,110.6859818,1787.9909668,102.0784683,105.7854691,1410.7369385,1418.8731689,49.8943367,
2023-12-22 20:00:00,14.781003,110.6922989,1816.4870605,102.0999985,105.8161545,1486.9764404,1479.7647705,50.8897438,
2023-12-22 20:10:00,14.6404705,110.6986084,1797.7884521,102.2255173,105.8326416,1519.026001,1514.6904297,49.1443481,
2023-12-22 20:20:00,14.5355511,110.6868591,1797.8012695,102.3000031,105.8491211,1533.2762451,1537.7675781,49.2947464,
2023-12-22 20:30:00,14.4076939,110.6700211,1813.2078857,102.3000031,105.8656082,1547.5266113,1560.8448486,50.5709496,
2023-12-22 20:40:00,14.3861227,110.6531754,1809.0194092,102.3585281,105.8820877,1561.7769775,1567.6999512,49.3842621,
2023-12-22 20:50:00,14.4127274,110.6363373,1791.4001465,102.4000015,105.8985748,1541.2180176,1562.4299316,50.5,
2023-12-22 21:00:00,14.4188385,110.6194916,1802.8931885,102.4103546,105.9150543,1493.6734619,1546.0916748,49.7716217,
2023-12-22 21:10:00,14.3588247,110.6026535,1812.5224609,102.5194473,105.9315414,1494.4246826,1529.753418,50.0,
2023-12-22 21:20:00,14.32024,110.5858078,1802.0493164,102.5999985,105.9480209,1507.512085,1513.4151611,50.1400566,
2023-12-22 21:30:00,14.2615852,110.5689697,1793.255249,102.5999985,105.9645081,1520.5994873,1531.2543945,49.8655052,
2023-12-22 21:40:00,14.3274994,110.552124,1787.9302979,102.5803604,105.9809875,1533.6870117,1552.3348389,49.7906609,
2023-12-22 21:50:00,13.4925222,110.5352859,1769.3580322,102.5747528,105.9974747,1546.7744141,1573.4151611,49.8840179,
2023-12-22 22:00:00,13.9451809,110.5184402,1812.5106201,102.8098221,106.1999969,1548.5948486,1576.1772461,51.0004082,
2023-12-22 22:10:00,13.9502773,110.5016022,1802.5870361,102.6880417,106.1999969,1596.0076904,1621.2851563,49.4696312,
2023-12-22 22:20:00,12.7881088,110.4847565,1817.3947754,103.0273056,106.2711868,1692.7226563,1719.4121094,48.0193291,
2023-12-22 22:30:00,12.905261,110.4679184,1781.6691895,103.2447128,106.5111847,1734.4398193,1765.461792,49.6518288,
2023-12-22 22:40:00,11.590703,110.4510727,1779.5081787,103.6615219,106.7511826,1864.458374,1880.9633789,47.7509346,
2023-12-22 22:50:00,15.008359,110.4342346,1800.4121094,102.2329407,106.4462128,1574.3123779,1587.7915039,49.5070457,
2023-12-22 23:00:00,15.0194616,110.4173889,1787.0014648,102.107254,105.7983398,1483.8410645,1502.5198975,52.4267311,
2023-12-22 23:10:00,14.9662886,110.4005432,1815.8504639,102.1836929,105.7954788,1490.0478516,1524.4998779,50.3193626,
2023-12-22 23:20:00,15.0221777,110.3837051,1800.4625244,102.2601318,105.7926102,1468.3286133,1488.7438965,48.7547455,
2023-12-22 23:30:00,15.0055723,110.3668594,1782.3890381,102.3000031,105.7897491,1453.9211426,1455.3013916,50.0390472,
2023-12-22 23:40:00,14.9869585,110.3500214,1811.6850586,102.3000031,105.7868881,1474.9898682,1485.0447998,51.2542648,
